﻿Filiale;site;n° parc GT;Categorie vehicule;Souscategorie vehicule;Poids;Date mise en service;Mode acquisition;Marque;Modele;Fournisseur;Immatriculation;Date 1ere immatriculation;Num serie;Commentaires;Ptac;Ptr;Puissance fiscale;Genre;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497772;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;13/12/2017;Mise à disposition;JUNGHEINRICH;EJC110;PSA Vesoul;;01/01/2008;G49;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497773;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;13/12/2017;Mise à disposition;JUNGHEINRICH;EJC110;PSA Vesoul;;01/01/2008;G50;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497774;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;13/12/2017;Mise à disposition;JUNGHEINRICH;EJC110;PSA Vesoul;;01/01/2008;G51;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497775;REMORQUE;REMORQUE INDUSTRIELLE;;13/12/2017;Mise à disposition;LIGIER;;PSA Vesoul;;01/01/2003;617;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497776;REMORQUE;REMORQUE INDUSTRIELLE;;13/12/2017;Mise à disposition;LIGIER;;PSA Vesoul;;01/01/2003;618;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497777;REMORQUE;REMORQUE INDUSTRIELLE;;13/12/2017;Mise à disposition;LIGIER;;PSA Vesoul;;01/01/2003;619;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497778;REMORQUE;REMORQUE INDUSTRIELLE;;13/12/2017;Mise à disposition;LIGIER;;PSA Vesoul;;01/01/2005;638;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497779;REMORQUE;REMORQUE INDUSTRIELLE;;13/12/2017;Mise à disposition;LIGIER;;PSA Vesoul;;01/01/2005;639;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497780;REMORQUE;REMORQUE INDUSTRIELLE;;13/12/2017;Mise à disposition;LIGIER;;PSA Vesoul;;01/01/2005;640;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497781;REMORQUE;REMORQUE INDUSTRIELLE;;13/12/2017;Mise à disposition;MASSON;;PSA Vesoul;;01/01/2008;656;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497782;REMORQUE;REMORQUE INDUSTRIELLE;;13/12/2017;Mise à disposition;MASSON;;PSA Vesoul;;01/01/2008;657;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497783;REMORQUE;REMORQUE INDUSTRIELLE;;13/12/2017;Mise à disposition;MASSON;;PSA Vesoul;;01/01/2008;658;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul pneu;497784;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;12/12/2017;Mise à disposition;FENWICK;E16;PSA Vesoul;;01/01/2017;L1153;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul pneu;497785;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;12/12/2017;Mise à disposition;FENWICK;E16;PSA Vesoul;;01/01/2017;L1155;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul pneu;497786;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;12/12/2017;Mise à disposition;FENWICK;H16;PSA Vesoul;;01/01/2017;L0026;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul pneu;497787;CHARIOT FRONTAL;CHARIOT ELEVATEUR 9T<à<16T;;12/12/2017;Mise à disposition;FENWICK;P250;PSA Vesoul;;01/01/2017;L8012;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul pneu;497788;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;12/12/2017;Mise à disposition;FENWICK;E16;PSA Vesoul;;01/01/2017;20849;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul pneu;497789;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;12/12/2017;Mise à disposition;FENWICK;E16;PSA Vesoul;;01/01/2017;18327;;;;;;;;;;;
GT LOGISTICS.03;EINEA;497803;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;12/03/2018;Location longue durée;TOYOTA;8FBEK16T;TOYOTA MATERIAL HANDLING;;01/01/2017;12039;;;;;;;;;;;
GT LOGISTICS.03;EINEA;497804;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;12/03/2018;Location longue durée;TOYOTA;8FBEK16T;TOYOTA MATERIAL HANDLING;;01/01/2017;12048;;;;;;;;;;;
GT LOGISTICS.03;EINEA;497805;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;12/03/2018;Location longue durée;TOYOTA;LPE200;TOYOTA MATERIAL HANDLING;;01/01/2018;6564069;;;;;;;;;;;
GT LOGISTICS.03;EINEA;497806;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;12/03/2018;Location longue durée;TOYOTA;LPE200;TOYOTA MATERIAL HANDLING;;01/01/2018;6564068;;;;;;;;;;;
GT LOGISTICS.03;EINEA;497807;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;12/03/2018;Location longue durée;TOYOTA;SWE120;TOYOTA MATERIAL HANDLING;;01/01/2018;6566197;;;;;;;;;;;
GT LOGISTICS.02;NTN SAINT VULBAS;497811;ENGIN MAGASINAGE;CHARIOT RETRACTABLE;;21/02/2018;Location longue durée;BT;RRE160HE;TOYOTA MATERIAL HANDLING;;01/01/2018;6563410;;;;;;;;;;;
GT LOGISTICS.02;NTN SAINT VULBAS;497812;ENGIN MAGASINAGE;CHARIOT RETRACTABLE;;21/02/2018;Location longue durée;BT;RRE160HE;TOYOTA MATERIAL HANDLING;;01/01/2018;6563411;;;;;;;;;;;
GT LOGISTICS.02;NTN SAINT VULBAS;497813;ENGIN MAGASINAGE;CHARIOT RETRACTABLE;;21/02/2018;Location longue durée;BT;RRE160HE;TOYOTA MATERIAL HANDLING;;01/01/2018;6563412;;;;;;;;;;;
GT LOGISTICS.02;NTN SAINT VULBAS;497814;ENGIN MAGASINAGE;CHARIOT RETRACTABLE;;21/02/2018;Location longue durée;BT;RRE160HE;TOYOTA MATERIAL HANDLING;;01/01/2018;6563413;;;;;;;;;;;
GT LOGISTICS.02;NTN SAINT VULBAS;497815;ENGIN MAGASINAGE;CHARIOT RETRACTABLE;;21/02/2018;Location longue durée;BT;RRE160HE;TOYOTA MATERIAL HANDLING;;01/01/2018;6563414;;;;;;;;;;;
GT LOGISTICS.02;NTN SAINT VULBAS;497816;ENGIN MAGASINAGE;CHARIOT RETRACTABLE;;21/02/2018;Location longue durée;BT;RRE160HE;TOYOTA MATERIAL HANDLING;;01/01/2018;6563043;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;497898;CHARIOT FRONTAL;CHARIOT ELEVATEUR 5T<à<=9T;;01/06/2018;Location longue durée;HYSTER;H8.0FT6;TOYOTA MATERIAL HANDLING;;01/01/2017;C299E01519R;;;;;;;;;;;
GT LOGISTICS.06;CONTINENTAL FOIX;497933;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;2976;28/08/2018;Location longue durée;TOYOTA;8FBE15T;TOYOTA HANDING;;à renseigner;8FBE15T-13677;;;;;;;;;;;
GT LOGISTICS;Bassens;890758;VOITURE;VEHICULE DE SERVICE;;12/11/2015;Location longue durée;PEUGEOT;308;ALD;DW893ZJ;12/11/2015;;Utilisateur : VEH SCE - Flotte ASS VF;1,81;3,2;5;VP;;;;;;
GT LOGISTICS;Bassens;890787;VOITURE;VEHICULE DE FONCTION;;25/08/2016;Location longue durée;RENAULT;Mégane;Arval;EE227TS;25/08/2016;;Utilisateur : Y. DAMOUR - Flotte ASS VF;1,85;3,15;5;VP;;;;;;
GT LOGISTICS;Bassens;990790;VOITURE;VEHICULE DE FONCTION;;02/09/2016;Location longue durée;MERCEDES;CLA;Arval;EE536ZH;02/09/2016;;Utilisateur : N.LABBE - Flotte ASS VF;2,01;3,51;7;VP;;;;;;
GT LOGISTICS;Bassens;990792;VOITURE;VEHICULE DE FONCTION;;24/08/2016;Location longue durée;MERCEDES;CLA;Arval;EE113TC;24/08/2016;;Utilisateur : V.YZERD - Flotte ASS VF;2,1;3,51;7;VP;;;;;;
