CODE ARTICLE CEA;INTITULÉ;ADRESSE;NOMBRE D'UC;FAMILLE PRODUIT;FOURNISSEUR;REF FOURNISSEUR;STOCK MINIMUM;STOCK ALERTE;N° DE LOT; PRIX UNITAIRE ;DATE D'ENTRÉE; PRIX DU STOCK FINAL ;ALERTE MINI;ALERTE  PREVISION;PEREMPTIONS
SIL_100_009;100_P_BORON_FZ(100)525UM_1-5_OHM;;25;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_100_010;100_P_BORON_FZ(100)525UM_1-5_OHM_OFF-0,15;;75;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_100_011;100_N_PH_FZ(100)525UM_1-5_OHM;;108;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_163A;;;50;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_165A;;;100;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_166;;;200;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_173;WAF.RAW 200 M M RESERV_SILICIUM_P_MONITOR_B_111_725UM_1-100_OHM_TTV<4UM;A2_SIL;0;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_174;300MM SOI 70-145NM;;25;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_121A;300MM_SOI_PRIME_DECLASSE_88NM-145NM_P_CZ (100)_775UM_9-15 OHM;;352;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_175;RESERVE_SOI_PRIME_12NM-25NM_0DEGROFF_9-15OHM;;225;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_010;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE3_MINI-630UM;A5_SIL;917;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_176;300 MM RESERVE_SOI_PRIME_310-1500NM_P_CZ_(100)_775UM_8-18OHM;J1_SIL;25;SILICIUM;;;;;; -   € ;; -   € ; ; ;
