CODE ARTICLE CEA;REGULATOR PARTS AVEC 2 VIS;ADRESSE;QTY FINAL
BAG_F19;FILTRE IMPACT 2 V2 0.05UM OF KALREZ;BAT 41G01F3;4
BAG_F21;IMPACT 2-DUO 10 NM OF KALREZ FILTRE RESINE;BAT 41G01F3;38
BAG_F28;PHU/BAKE POSITION ADJ JIG;BAT 41G01F3;2
BAG_F60;NOZZLE 1.5MM ;BAT 41G01F3;1
CON_V04;PORTE FILTRE MIKROLYSS;BAT 41G01F3;2
CRC_F05;BOTTLE CAP GALLON ;BAT 41G01F3;67
CRC_F09;KIT CUP 300MM;BAT 41G01F3;11
CRC_F10;KIT TEACHING 300MM ;BAT 41G01F3;2
CRC_F11;AVR UNIT F47 TYPE 50630-1129 (RECONDITIONNÉ) ;BAT 41G01F3;88
RAC_F28;BACKUP BATTERY;BAT 41G01F3;0
ROU_006A;HAND ASSY - IHU ARM 200MM;BAT 41G01F3;26
ROU_007;BOITE DE TRANSPORT PLAQUE SENSARRAY 200MM;BAT 41G01F3;0
ROU_F07;EXH FLOW MEASUREMENT JIG ;BAT 41G01F3;22
ROU_F08;CABLE;BAT 41G01F3;10
ROU_F09;LP LEVEL CHECK BASE;BAT 41G01F3;45
ROU_F12;AHP TEMP MEASUREMENT JIG;BAT 41G01F3;13
ROU_F21;CAB_002;BAT 41G01F3;4
ROU_F22;MAGNETIC SWITCH;BAT 41G01F3;14
ROU_F24;ADJ_001;BAT 41G01F3;4
ROU_F28;PACKING ;BAT 41G01F3;15
VIS_F61;BYPASS FILTRE LITHO PETIT FORMAT;BAT 41G01F3;2
VIS_F62;TUBE POLYURETHANE ROBOT KAWASAKI ;BAT 41G01F3;1
VIS_F64;KIT BRIDAGE ;BAT 41G01F3;3
VIS_F66;DISPENSE STEP MOTOR Y2 ;BAT 41G01F3;1
VIS_F67;VITRE QUARTZ MODULE OWE ;BAT 41G01F3;3
VIS_F71;PICOTS QUARTZ ;BAT 41G01F3;37
VIS_F73;ENSEMBLE INTERLOCK CAPOT RCD8B ;BAT 41G01F3;4
VIS_F74;FILTRE ABSOLUS POUR CAUTER;BAT 41G01F3;2
VIS_F76;TUYAU DOUBLE ENVELOPPE DEV ;BAT 41G01F3;1
VIS_F78;DEBITLITRE A ULTRASON ;BAT 41G01F3;4
VIS_F81;FILTRE CHARBON ACTIF;BAT 41G01F3;64
VIS_X36;MANOMETRES SUR SUPPORT ;BAT 41G01F3;10
CAL_F42;FILTRE RESINE;BAT 41G01F4;1
BAG_F04;FILTRE RESINE;BAT 41G01G1;5
BAG_F05;GREASE ALVANIA;BAT 41G01G1;14
BAG_F08;VALVE AMC-VL-X1-DB;BAT 41G01G1;82
BAG_F09;CAPTEUR DE NIVEAU CANISTER ;BAT 41G01G1;22
BAG_F11;DOOR SWITCH ;BAT 41G01G1;30
BAG_F12;SERINGUE;BAT 41G01G1;127
BAG_F13;FILTRE RECTANGULAIRE AIR MOLECULAR;BAT 41G01G1;23
BAG_F14;FILTRE OPTIMIZER ST DEV 0.1µM ;BAT 41G01G1;7
BAG_F15;COAT UNDER CUP;BAT 41G01G1;32
BAG_F16;ASSY, 3P M/A S.S FLEX CABLE M12 ;BAT 41G01G1;2
BAG_F17;MAGNET OVEN ;BAT 41G01G1;35
BAG_F18;PINCETTE QUARTZ ROBOT (CS);BAT 41G01G1;60
BAG_F20;REGULATEUR EDI DEV ;BAT 41G01G1;71
BAG_F23;VERIN ELECTRIQUE OUTER CUP/DOWN SE;BAT 41G01G1;4
BAG_F26;MOTEUR DE SPINNER 300W 0,57N.M;BAT 41G01G1;82
BAG_F27;AC SERVO MOTOR PANASONIC;BAT 41G01G1;2
BAG_F30;"PINCETTE 8 """"""""";BAT 41G01G1;1
BAG_F32;CAPTEUR SENSOR COVER SET ASSY;BAT 41G01G1;3
BAG_F52;CAPTEUR;BAT 41G01G1;4
BAG_F54;WAFER EDGE SENSOR;BAT 41G01G1;3
BAG_F57;CAPTEUR SENSOR SHUTTER UP/DOWN ASSY;BAT 41G01G1;23
BAG_F63;"8 NOZZLE CHANGER HOME SENSOR""";BAT 41G01G1;20
COU_F15;"8 NOZZLE HEAD SENSOR""";BAT 41G01G1;3
MOT_F37;SENSOR LEAK;BAT 41G01G1;5
ROU_F10;SONDE SENSOR LEVEL;BAT 41G01G1;62
DET_F16;DÉBITMÈTRE 15 À 150 ML/MIN ;BAT 41G01G2;1
ELEC_F47;PRISE COURANT 250V 15A ;BAT 41G02A1;3
ELEC_F49;CABLE SVM SIGNAL;BAT 41G02A1;2
ELEC_F50;UNION COUDE PILLAR 8 MM;BAT 41G02A1;5
ELEC_F52;UNION DROIT PILLAR 6 MM;BAT 41G02A1;0
ELEC_G24;UNION PILLAR 8MM;BAT 41G02A1;3
ELEC_W22;RACCORD INOX COUDE 6MM;BAT 41G02A1;1
LIT_C95;UNION INOX PASSE CLOISON 8MM;BAT 41G02A1;4
LIT_C96;CAPTEUR A,C220V;BAT 41G02A1;3
MEC_F41;CAPTEUR AC110V;BAT 41G02A1;1
TTH_F97;DETECTEUR PLAQUES CS;BAT 41G02A1;2
MEC_F40;INTERRUPTEUR DEV CHUCK UP/VAC OFF SW;BAT 41G02A2;17
MEC_F43;TRANSFORMATEUR 400-440V 50/60HZ LED 24V;BAT 41G02A2;1
MEC_F45;POWER OFF SW ASSY;BAT 41G02A2;2
MEC_F60;FUSIBLE 5A;BAT 41G02A2;20
MEC_F72;FUSIBLE 10A;BAT 41G02A2;3
MEC_F83;FUSIBLE 2A;BAT 41G02A2;10
MEC_F85;REDUCING TUBE (21G);BAT 41G02A2;1
VAN_F26;BAGUE PLASTIQUE NOIR;BAT 41G02A3;2
KIT_F36;SEAL MK5 RESIST NOZZLE;BAT 41G02A4;1
KIT_F37;WAF BLOCK 8 (2P-45-F);BAT 41G02A4;2
EMT_G39;CATCH;BAT 41G02B2;33
EMT_G40;BUSE RESINES;BAT 41G02B2;15
EMT_G42;PL 12 NUT;BAT 41G02B2;1
EMT_G43;KIT POULIE COURROIE;BAT 41G02B2;2
EMT_G45;NOJJLE BASE A (PIECE TEFLON SINNER);BAT 41G02B2;18
EMT_G46;DRAIN MONIFOLD A (PIECE TEFLON SINNER);BAT 41G02B2;2
EMT_G47;DRAIN BLOCK A (PIECE TEFLON SINNER);BAT 41G02B2;4
EMT_G48;KIT SCAN BASE DEV ;BAT 41G02B2;1
EMT_G50;SUPPORT METALLIQUE;BAT 41G02B2;3
EMT_G51;GLISSIERE BALL SLIDE UNIT;BAT 41G02B2;1
EMT_G52;PULLEY PIGNON METALLIQUE;BAT 41G02B2;26
EMT_G97;REDUCING TUBE (24G);BAT 41G02B2;2
EMT_G99;VIS CSK HD M2X3 1-TYPE;BAT 41G02B2;3
EMT_Y81;RONDELLE INOX M14;BAT 41G02B2;8
MEC_F82;SCREW SET M4X5;BAT 41G02B2;2
MEC_W08;FINGER ROBOT;BAT 41G02B2;3
EMT_G87;PIN LIFT FOUR;BAT 41G02B4;1
ELEC_F38;TIP TYPE 2;BAT 41G02C1;2
EMC_Z11;ELECTROVANNE VIDE CHUCK;BAT 41G02C2;1
EMT_972;ELECTROVANNE 0-100 PSI VAC 85 PSI - 24 VDC;BAT 41G02C2;2
MOT_V23;ELECTROVANNE;BAT 41G02C2;4
ELEC_F42;ELECTROVANNES SHUTTER ;BAT 41G02C3;1
TTH_G61;SPEED CONTROLLER (PNEUMATIQUE) ;BAT 41G02C3;2
TTH_G80;SENSOR PRESSURE ;BAT 41G02C3;1
TTH_G82;CARTE ÉLECTRONIQUE X, THETA-BASE3..T326-17315-0;BAT 41G02C3;2
TTH_I08;MANOMÈTRE PRESSION 0 À 0.2MPA ;BAT 41G02C3;4
KIT_Z03;MAIN ARM H.S CONN B BOARD ;BAT 41G02C4;1
EMC_Z09;BAGUE PLASTIQUE NOIR;BAT 41G02D1;3
LIT_A31;BAGUE PLASTIQUE NOIR;BAT 41G02D1;32
LIT_A32;TUBE FLEXIBLE PENN CHEMCT 1/4 1,5FEET B=50;BAT 41G02D1;4
ELEC_F43;TUYAU FLEXIBLE PENN CHEMCT 1/4 700MM;BAT 41G02D2;3
EMT_C57;FUSIBLE 5A;BAT 41G02D3;1
VIS_F01;O RING SPIN MOTOR ;BAT 41G02D3;2
ELEC_F13;JOINT NOZZLE BATH;BAT 41G02D4;1
TTH_E65;JOINT;BAT 41G02E1;4
TTH_E67;JOINT VITON TORIQUE NOIR;BAT 41G02E1;2
TTH_E68;JOINT TORIQUE NOIR PF S-4 BLK;BAT 41G02E1;10
TTH_E69;JOINT TORIQUE NOIR 9/16X11/16X1/16IN   14,00X;BAT 41G02E1;4
TTH_E70;JOINT TORIQUE NOIR PF S-4 BLK;BAT 41G02E1;8
TTH_E72;JOINT TORIQUE NOIR BUTYL AS568-257 BLK;BAT 41G02E1;1
TTH_E73;JOINT TORIQUE NOIR PF S-6 BLK;BAT 41G02E1;4
TTH_E75;JOINT TORIQUE NOIR PF AS568-013 BLK;BAT 41G02E1;1
TTH_E76;JOINT TORIQUE NOIR NOZZLES PFS-22-4 BLK;BAT 41G02E2;7
TTH_E78;JOINT TORIQUE PFS-10.BLK;BAT 41G02E2;4
TTH_E80;SEAL TEFLON AR13499;BAT 41G02E2;14
TTH_E81;O-RING;BAT 41G02E2;1
TTH_E83;JOINT KALREZ 26.52*2.62 ;BAT 41G02E2;2
TTH_E85;JOINT KALREZ NOZZLE BATH ;BAT 41G02E2;1
TTH_E86;JOINT KALREZ 29.51*5.33MM ;BAT 41G02E2;83
TTH_E88;JOINT VITON ;BAT 41G02E2;4
TTH_E89;TUYAU D'AIR COMPRIMÉ 3.7MM ;BAT 41G02E2;1
TTH_I62;JIG CALIBRAGE ROBOT ;BAT 41G02E2;2
TTH_G51;EMBOUT DE SERINGUE ;BAT 41G02E3;1
TTH_G52;RONDELLE POUR CHUCK;BAT 41G02E3;9
TTH_I61;TUYAU DISPENSE MANUELLE;BAT 41G02E3;4
DET_074;TUBE TEFLON;BAT 41G03A1;2
EMC_Q08;MODIFICATION INSTALLATION TARC BLOCK HOLDER(2;BAT 41G03A1;8
EMC_Q09;MODIFICATION INSTALLATION TARC ELEMENT METALL;BAT 41G03A1;7
EMC_U43;H-BAR-NOZZLE ;BAT 41G03A1;1
EMC_W30;VALVE,RESIN..TDCV-3 (SERYNGUE) ;BAT 41G03A1;3
LIT_A07;AXE METALLIQUE PIN (67);BAT 41G03A1;1
LIT_A51;AXE METALLIQUE PIN;BAT 41G03A1;4
LIT_B35;COURROIE CRANTE NOIR DRIVE BELT;BAT 41G03A1;2
LIT_B39;COURROIE CRANTE NOIR BRACKING BELT;BAT 41G03A1;3
LIT_C100;COURROIE CRANTE VERT DRIVE BELT;BAT 41G03A1;2
LIT_D51;COURROIE PLATE CRANTEE NOIRE BELT TIMING B60S;BAT 41G03A1;13
LIT_D52;COURROIE PLATE CRANTEE NOIRE BELT TIMING 1325;BAT 41G03A1;6
LIT_D74;COURROIE PLATE CRANTEE NOIRE BELT TIMING B60S;BAT 41G03A1;1
LIT_D75;COURROIE CRANTE GRISE BELT TIMING 100-L-1300A;BAT 41G03A1;2
LIT_A04;COURROIE CRANTE NOIR TIMING BELT 290-2GT-9;BAT 41G03A3;1
