ADRESSE;FAMILLE PRODUIT;DATE;PROJET;DEMANDEUR;DATE FIN DE PROJET;LOT;SORTIE;COMMENTAIRE;JOURS DE PEREMPTION
STOCK_EXTERNE_E1;SIL_EXTERNE;;;0;00/01/1900;J718XWS;;;42490
STOCK_EXTERNE_E1;SIL_EXTERNE;;PANACHE;CARABASSE;01/01/2018;AA783P;;;-611
STOCK_EXTERNE_E1;SIL_EXTERNE;;PANACHE;BERNASCONI;01/01/2018;AD502P;;;-611
STOCK_EXTERNE_E1;SIL_EXTERNE;;COMPOFOCUS;ALLAIN;31/12/2015;D15S1707;;;121
STOCK_EXTERNE_E1;SIL_EXTERNE;;;;;DUMP0B1;;;#VALEUR!
STOCK_EXTERNE_E1;SIL_EXTERNE;;PANACHE;CARABASSE;01/01/2018;Y075P;;;-611
STOCK_EXTERNE_E1;SIL_EXTERNE;;MAGSENS;MAEDER + CYRILLE;31/12/2015;Z589G;;;121
STOCK_EXTERNE_E1;SIL_EXTERNE;;;D18S0956;;D18S0956;;;42490
STOCK_EXTERNE_E2;SIL_EXTERNE;;GYROM2;BERTHELOT;31/10/2018;D14S1136;;;-914
STOCK_EXTERNE_E2;SIL_EXTERNE;;NEMSMS;DESLOGES;31/12/2015;D15T0051;;;121
STOCK_EXTERNE_E2;SIL_EXTERNE;;GYROM2;BERTHELOT;31/10/2018;D16S1604;;;-914
STOCK_EXTERNE_E2;SIL_EXTERNE;;;VELARD;00/01/1900;J613VPH;;;42490
STOCK_EXTERNE_E2;SIL_EXTERNE;;IMAG;;31/12/2015;MIMIC 3B / D15S2233;;;121
STOCK_EXTERNE_E3;SIL_EXTERNE;;MIRIFISENSE;ORTIZ;28/02/2016;AB585A;;;62
STOCK_EXTERNE_E3;SIL_EXTERNE;;CLARITY;ORTIZ;31/08/2016;AB730P;;;-123
STOCK_EXTERNE_E3;SIL_EXTERNE;;PGA;BERNASCONI;31/12/2015;AD491P;;;121
STOCK_EXTERNE_E4;SIL_EXTERNE;;EENTB;MOULET / WIDIEZ;31/12/2015;D15S1542A / A16D0006;;;121
STOCK_EXTERNE_E4;SIL_EXTERNE;;DFS1 /DTBS ADN ;BELLEMIN COMTE;31/12/2017;D16S2262 / D15S0916B;;;-610
STOCK_EXTERNE_E4;SIL_EXTERNE;;N017-BEOL;Aurélie THUAIRE;31/12/2017;D16S2604;;;-610
STOCK_EXTERNE_E5;SIL_EXTERNE;;DTSI SPAT ETUDE;;01/01/2016;D15S1638;;;120
STOCK_EXTERNE_E5;SIL_EXTERNE;;SIAM;Aurélie THUAIRE;30/09/2016;D16S0768;;;-153
STOCK_EXTERNE_E5;SIL_EXTERNE;;DTBS ADN ;Martine COCHET ;31/12/2017;D16S1352;;;-610
STOCK_EXTERNE_F1;SIL_EXTERNE;;DOGGIES;ORTIZ;31/12/2015;AB432D;;;121
STOCK_EXTERNE_F1;SIL_EXTERNE;;PANACHE;BERNASCONI;01/01/2018;AE132P;;;-611
STOCK_EXTERNE_F1;SIL_EXTERNE;;PANACHE;JALAGUIER;01/01/2018;D14S0541;;;-611
